,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
29,4EFB.02.126,4.240368440141028e-05,7.214396300264858e-22,3.860271551730051e-08,4.374849980463765e-06,5.896709851522242e-07,5.370713893940214e-14,0.01128949675214257,1.938847125931329e-05,1.877303224129719e-13,9.224070123230467e-14
30,4EFB.02.127,0.001109540579967962,2.266859592621771e-07,4.768401001837225e-05,2.750868193923946e-09,0.0001407555279288315,1.185166542580859e-07,5.125771526851779e-05,0.0009710713283383307,2.620269035571148e-08,7.378227093646508e-05
31,4EFB.02.128,3.083932074319852e-07,4.27833424203099e-05,3.692529249097663e-07,3.065569700225451e-10,5.781810213076054e-05,4.053706513002418e-09,0.01404585849041864,6.638598924793207e-09,0.0001099681769010417,2.692441020591064e-05
32,4EFB.02.129,0.0001184720978460268,5.165914290392256e-12,1.424824537601815e-05,9.284872896195591e-15,2.391595305042662e-11,5.667426976981145e-07,0.01388249041582791,6.650306788648057e-05,5.062133521304296e-09,1.783175292331128e-06
33,4EFB.02.13,0.0001176657709721766,3.117489796311612e-06,6.048458281518126e-08,1.665017738011208e-11,3.354706455476163e-07,2.284609296633565e-10,1.003327949012811e-06,0.002008192647945867,2.069016795261783e-07,6.697685579609415e-06
34,4EFB.02.130,0.0001021255337011139,0.0002275756547324059,7.545568361624488e-06,1.332048697871828e-11,2.630460908799723e-08,4.977915319659178e-05,0.01061061878971236,8.440696642409174e-05,1.716326796579221e-05,0.0006986406067511925
35,4EFB.02.131,1.693604064412032e-05,5.493922389915911e-07,4.082590298045927e-08,8.485017994264727e-09,9.791542275540759e-05,4.312865055505892e-10,0.01531763724233231,0.0002235499544225007,2.157671203469811e-05,0.000188009900135909
36,4EFB.02.132,7.263937854780493e-05,1.686184367985958e-07,8.90741214241922e-09,1.368159016729638e-10,1.222040579874423e-05,3.550895859067828e-07,2.032096184310512e-06,0.0001787104145541134,8.19255355591797e-09,4.354776028844081e-06
37,4EFB.02.133,4.084933896359658e-06,4.695431319989784e-07,1.42636993627072e-08,7.222816353386977e-15,7.753693435654665e-08,1.816057488369621e-11,0.01299953871717229,9.440702184188649e-05,1.322388489269377e-10,4.175423334022343e-05
38,4EFB.02.134,2.150558166725475e-05,4.293283914401739e-07,6.794093709836597e-07,2.807578996128582e-11,2.916027275754863e-05,1.18806225723471e-09,1.473469676860587e-05,4.316902592631418e-05,2.04096215134445e-07,4.8138324596292e-05
39,4EFB.02.135,4.044615569749246e-12,1.429751785058955e-08,2.752782373769666e-07,6.81994721120797e-09,6.278206878179909e-05,2.998066927124006e-06,8.73058578156206e-10,5.358700263003557e-10,3.777638830523928e-06,2.28819867244726e-05
40,4EFB.02.136,8.859528164995713e-06,9.883269240871406e-08,5.322588763506675e-10,5.604642934369474e-18,1.239843559378905e-08,1.618903747108921e-08,0.008847120627876062,0.0002161375833107575,3.546669286347715e-05,2.105716513505162e-05
41,4EFB.02.137,2.810819513070159e-05,3.96560069929372e-06,1.856387465515759e-09,8.168394394902407e-12,1.122265407569824e-05,1.003805095862905e-06,0.01972589675146634,0.0002965100244133363,4.420209498932692e-06,1.591973653318816e-06
42,4EFB.02.138,1.602639578467162e-07,1.617021688756026e-08,2.625683153918329e-11,1.105304747825233e-12,3.171570344967969e-11,1.411820999792746e-08,8.655308735239907e-12,4.116626549008584e-09,1.01314212209692e-41,1.924805205627873e-08
43,4EFB.02.139,1.713207112049908e-06,8.008610531721823e-09,6.689347752089194e-05,6.552268127435803e-07,1.954943411137262e-07,2.443199607095861e-06,0.01971696113774057,0.002088424366073204,0.0002746206647479747,3.381120220704439e-05
44,4EFB.02.14,2.541970672039325e-05,0.0004734027616248763,1.176216245764854e-09,3.380544265225154e-07,8.366249796443168e-05,3.420458459285971e-07,0.001957342774853031,1.341166502814841e-05,2.47509547510723e-05,1.084321428867713e-05
45,4EFB.02.140,2.208892713536348e-07,8.144885444382674e-14,3.408222973409583e-09,9.363667889134617e-16,4.231089061068866e-06,6.347247807259764e-07,0.01620698480069884,4.540176117127627e-08,1.232519491818337e-07,2.34872684987356e-05
46,4EFB.02.141,1.456721917164775e-08,8.75025505487744e-09,2.819387864640379e-07,2.183680389918785e-08,1.1996882972475e-07,3.839351725868292e-30,0.01203801524489972,8.473176901196415e-15,2.173942261478844e-10,7.681079936689285e-10
47,4EFB.02.142,3.071262433691232e-06,4.372096114489912e-12,2.404581585465314e-11,2.536555402705404e-14,4.419283781587123e-06,1.562730596311551e-11,0.00153484360913521,0.0002094050613611292,3.784755135809015e-13,1.658835067726558e-09
