,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
63,4F4D.01.66.gene,0.003170623831872759,0.05124270984163513,1.153613359858619e-05,0.001288901816183732,0.0004292892531040652
64,4F4D.01.67.gene,0.001051626313916006,0.05746666680331003,4.361048095414742e-05,0.001515277592975383,0.0002228871491541653
65,4F4D.01.68.gene,0.0005130689084832293,0.05158942128137867,5.246123258829462e-05,0.001064595429550528,0.00113183524592725
66,4F4D.01.69.gene,0.002343945614670228,0.05112782069363315,0.0001046561445236968,0.001082271370411647,0.0005888426936689872
67,4F4D.01.7.gene,0.0007879598137414209,0.05187535047665381,4.208154701041438e-05,0.0008021234315790867,0.0008465240275084589
68,4F4D.01.70.gene,0.000982973018750159,0.05131363250392563,0.0001312699379033596,0.001167282308048869,0.0002912821562496928
69,4F4D.01.71.gene,0.002097639487919616,0.05140062328270796,0.0001273590208902146,0.005172269128981029,0.000624668885352762
70,4F4D.01.72.gene,0.001354782424564454,0.05837390020504176,0.0005330341536005941,0.001406776378149881,0.001500811469478423
71,4F4D.01.73.gene,0.001407936653041196,0.07134428604447594,7.55727411209455e-06,0.000370987252812854,0.000349392842416772
72,4F4D.01.74.gene,0.001251679798279137,0.05706704573310502,0.000169132987659321,0.002815965186486501,0.000504060588298407
73,4F4D.01.75.gene,0.0008702737470878103,0.05408763275386227,0.0001529037058043468,0.001293835237400055,0.001329481487808567
74,4F4D.01.76.gene,0.001643431474479755,0.05383851197325126,7.646722362170855e-05,0.001000074188437113,0.0004378929165998494
75,4F4D.01.77.gene,0.002098236797152677,0.05567600267028951,3.921272301934753e-05,0.001403685218632848,0.001064755044250993
76,4F4D.01.78.gene,0.002360762482638977,0.05583152702524634,1.91036835242705e-05,0.001694914394431133,0.0004270425913234101
77,4F4D.01.79.gene,0.001536152266964193,0.05190316369950927,9.166460807359488e-06,0.001769112834966889,0.0004845740242472968
78,4F4D.01.8.gene,0.00119759671833346,0.05095300525861371,4.192875399384714e-05,0.002510145977228218,0.0002879512984899915
79,4F4D.01.80.gene,0.004536860603703903,0.05199942353706894,0.0001585487705670201,0.00149866423769457,0.002323370807390671
80,4F4D.01.81.gene,0.002901213509106828,0.05830466849134016,3.499884813746764e-05,0.001146763225944968,0.0005950373423687628
81,4F4D.01.82.gene,0.004826684474535064,0.05561732416973176,5.16636450309831e-05,0.001842608737668365,0.0003750316715096971
82,4F4D.01.83.gene,0.004795300130961027,0.05631554785035481,0.0001394708169608862,0.001635129214809601,0.0005608246439590709
83,4F4D.01.84.gene,0.001481002678408952,0.05728021988064424,3.014210371802992e-05,0.008458495318077396,0.0008613106114755995
84,4F4D.01.85.gene,0.002599278520646568,0.05165040490335912,2.381024479602295e-05,0.001349891586067023,0.0004458734371317012
85,4F4D.01.86.gene,0.0006019351695898952,0.0560108090857647,0.0001357014342518841,0.0008872403416030265,0.0008015003981217398
86,4F4D.01.87.gene,0.001972409545795768,0.06269865937559257,0.0001343126786598615,0.0005182561907744232,0.001069164830610813
87,4F4D.01.88.gene,0.001094647740394813,0.06113248448994971,9.3060411916345e-05,0.001470171075682237,0.0006869191700751716
88,4F4D.01.89.gene,0.00361675709617375,0.05508979566100251,0.0001272309045567769,0.0007387951342730526,0.0004149578540837761
89,4F4D.01.9.gene,0.0008613945839747592,0.05908207720946652,2.864980692794957e-05,0.0008740378383125805,0.001084651467253083
90,4F4D.01.90.gene,0.001112642152934862,0.05010744410954687,0.0001425512280369636,0.006288484817297425,0.0005851084623149874
91,4F4D.01.91.gene,0.001941060169584514,0.05196110539194911,1.251531012477881e-05,0.0008646757033088114,0.001189767659141165
92,4F4D.01.92.gene,0.002255294423001004,0.0606069384693202,3.543461712991269e-05,0.001324463047905754,0.0004646350020201826
93,4F4D.01.93.gene,0.005668746304727352,0.05485985837693538,2.147279472139151e-05,0.001458456388152402,0.0007613977264347807
94,4F4D.01.94.gene,0.001568915947234546,0.05000837323854977,0.0001912213927182064,0.003671234056139274,0.00100399459867212
95,4F4D.01.95.gene,0.002123612593140283,0.052197915028623,2.115336151572613e-05,0.002613790646126159,0.001421703006581119
96,4F4D.01.96.gene,0.001430050131398169,0.0563410334862048,8.780039067694225e-05,0.002339167701515551,0.001063569515784794
97,4F4D.01.97.gene,0.002612306987225023,0.05840899759915339,1.702275273956256e-05,0.001818440831451814,0.0004249532415471482
98,4F4D.01.98.gene,0.002052051475765317,0.05207433073361653,0.0001116179511985528,0.001590450739248049,0.0005620558274857698
99,4F4D.01.99.gene,0.001847225766466295,0.05029365107701748,6.738506067816921e-05,0.0004892174092463565,0.000478089530327994
100,4F55.02.1.gene,0.002391061145589938,0.002241799783240014,4.107433997651793e-05,0.05392416393885159,0.0009985138461863204
101,4F55.02.10.gene,0.001606122817041321,0.001135876468273507,1.25461526355978e-05,0.0612589859808902,0.0003273379407186754
102,4F55.02.100.gene,0.001525737957601003,0.002791415570570453,9.782524231051634e-06,0.05394447081377577,0.001449718087092599
103,4F55.02.11.gene,0.002708770528703369,0.0004987642786428665,2.421825385424856e-05,0.05179120798184206,0.0005223961910669575
104,4F55.02.12.gene,0.00143607080904936,0.0004072133978499474,1.060477255350936e-05,0.05191952298781178,0.0005207360908858775
105,4F55.02.13.gene,0.005758052690907262,0.0007539417233359186,3.737670791010371e-05,0.06383120461359576,0.0006056124913643395
106,4F55.02.14.gene,0.001451007808668101,0.001005841532359703,1.395716118003255e-05,0.05427593505929609,0.0002895006991000982
107,4F55.02.15.gene,0.001544955980188469,0.0004666312487443741,1.199153972020995e-05,0.05057340219462724,0.0001935628959352683
108,4F55.02.16.gene,0.001290555417580496,0.0002673130283473276,1.201419039709069e-05,0.051914297507506,0.000577284392739343
109,4F55.02.17.gene,0.0008629819265621245,0.0004201100679631357,3.664253470908229e-05,0.05616810239971554,0.000187543648628656
110,4F55.02.18.gene,0.002342402798093629,0.0002829948728741678,5.738174317359092e-05,0.05687477485366817,0.0003622080984756365
111,4F55.02.19.gene,0.001020798801475012,0.0003825034787864669,4.190482568764605e-05,0.05122127447003486,0.0004364223412677407
112,4F55.02.2.gene,0.00153387066145682,0.0002241090421092973,1.443201941741602e-05,0.05089545154288648,0.0002828732407150808
113,4F55.02.20.gene,0.001044795108560219,0.00116674085129348,6.460350842640175e-05,0.05401532998556154,0.0005084450035184442
114,4F55.02.21.gene,0.002771559121168356,0.0008421015399615974,8.66601402779866e-05,0.06699287636557608,0.0007539006506048008
115,4F55.02.22.gene,0.003794315589180572,0.001052423470201419,0.0001711386764011335,0.0557391711848134,0.0008970434019869572
116,4F55.02.23.gene,0.004008352875549842,0.0009613881321390079,5.865306652516774e-05,0.05620159333147554,0.000675806818480466
117,4F55.02.24.gene,0.003792166504761306,0.0008229034436705013,2.377673142938828e-05,0.05977457613996408,0.001360710989055977
118,4F55.02.25.gene,0.002261264179805169,0.001139375036511866,3.60342093978153e-05,0.05955811440337642,0.000748307499860626
119,4F55.02.26.gene,0.0007474950209640234,0.0007047688765340749,4.335769129135683e-05,0.07852729678033486,0.0004781879847718452
120,4F55.02.27.gene,0.004371231557379765,0.006587004088621731,8.770875257310436e-05,0.06380379458533843,0.001292336318631
121,4F55.02.28.gene,0.000801955512636659,0.0004632471202282394,1.998376425678905e-05,0.05161071373285635,0.0004232412907355719
122,4F55.02.29.gene,0.0004643892663606948,0.0002901816070723875,1.541302003742244e-05,0.05106568362611121,0.0005425138461398515
123,4F55.02.3.gene,0.0026248106527565,0.0003619459392408336,6.289125363599734e-05,0.06083906968426812,0.000183641761315804
124,4F55.02.30.gene,0.001792932918472992,0.0008081965762137102,3.240660144900289e-05,0.0549471489323408,0.0005224650971585519
125,4F55.02.31.gene,0.001791222861459259,0.0006482175121454819,3.591979973469093e-05,0.05216460303157486,0.0003455229615058034
126,4F55.02.32.gene,0.002556967533437238,0.001418496425954843,0.0001095760106198221,0.05461622811195487,0.0001896174331364697
127,4F55.02.33.gene,0.0009496630341186908,0.0004242688416537023,2.029564117116696e-05,0.05357379764344095,0.0004795084952391025
128,4F55.02.34.gene,0.00126506242448437,0.0008842539349676123,0.000213981166366553,0.05193427016457156,0.000554084637159084
129,4F55.02.35.gene,0.003002182264583747,0.001237472323462972,3.062268793680085e-05,0.05295412003211514,0.0005504429342370553
130,4F55.02.36.gene,0.0009970660190645924,0.001037240242183891,3.230273225738887e-05,0.05103040683111378,0.0003033058199126722
131,4F55.02.37.gene,0.0008763459904047845,0.0002562765990695311,8.169154148007957e-05,0.05797066661030448,0.0004745381194161491
132,4F55.02.38.gene,0.0008657306395171735,0.0004965438113674295,2.802064368085653e-05,0.05509832055431653,0.0002181485216219561
133,4F55.02.39.gene,0.003261274251846438,0.0008439872554088007,0.0001010517552108847,0.064937218255654,0.0005309523269735201
134,4F55.02.4.gene,0.0007036469599653957,0.0002434252598984666,1.215489482395674e-05,0.0556206707129427,0.0002762940438682876
135,4F55.02.40.gene,0.0008818910032591645,0.0002086840721057479,2.168773625077674e-05,0.05224997308575927,0.0003864880598006522
136,4F55.02.41.gene,0.003974927959417337,0.0003629945174647569,3.177437368265693e-05,0.0523873610238818,0.0007158409160740886
137,4F55.02.42.gene,0.005884782146502574,0.001426147188468526,0.0001410422277754921,0.05117054590928061,0.00092135479037755
138,4F55.02.43.gene,0.001111246843882047,0.000422295006418296,1.782518133706457e-05,0.05936473719059702,0.0007427545623790193
139,4F55.02.44.gene,0.002993638176574882,0.001744791921509687,0.0001072933423277854,0.06510962790900737,0.000886934001143615
140,4F55.02.45.gene,0.00205675782702509,0.0003655867013573936,4.526189688674997e-05,0.05420400132628745,0.0002271916408158995
141,4F55.02.46.gene,0.001003760834077834,0.0002570500337420857,6.268666773093805e-05,0.06343090128375746,0.0004470560290594499
142,4F55.02.47.gene,0.001007338722272069,0.001322661061676132,1.647110271252601e-05,0.05324999542383761,0.000201057736626253
143,4F55.02.48.gene,0.001562827500334663,0.0004088703152537931,1.255766265644011e-05,0.05321924770408355,0.0004059565012174305
144,4F55.02.49.gene,0.0008872392896770131,0.00100414400951249,4.695802988964952e-05,0.05421629645944638,0.0003217016658641201
145,4F55.02.5.gene,0.004141720743142254,0.0005360424640137631,3.505154571034344e-05,0.06691423638976406,0.0003114924210872496
146,4F55.02.50.gene,0.001266543440419397,0.0006502334683521016,0.0001246388592588251,0.05732660087335091,0.0004911705925830126
147,4F55.02.51.gene,0.004036829419179454,0.001164916784689545,3.306211342784678e-05,0.05779854456360405,0.0003483296736154023
148,4F55.02.52.gene,0.001586153360639204,0.0006766664841030146,1.172934632556415e-05,0.05098899951311466,0.000771165599370609
149,4F55.02.53.gene,0.004428160549333054,0.001091738305710808,7.800952511030512e-05,0.05443400304056425,0.0008806745186424441
150,4F55.02.54.gene,0.001624071822233485,0.000999724026048492,2.564110397786322e-05,0.06251429498965339,0.0003271649983137236
151,4F55.02.55.gene,0.004602327650100145,0.000651635565443821,6.056971042332657e-05,0.0698092087771228,0.0004117912491386203
152,4F55.02.56.gene,0.002798168844876835,0.001119316319340274,0.0001141142300060225,0.07350601097522244,0.0004888065505090724
153,4F55.02.57.gene,0.002638643858901743,0.001264459219748758,4.344734216227346e-05,0.05682825450234207,0.0003198579071019894
154,4F55.02.58.gene,0.0008225317180387335,0.0003286739932792409,2.173878096504594e-05,0.0604698024499367,0.0004087917164724794
155,4F55.02.59.gene,0.0004667688339586907,0.0002891400699154042,8.753602294301324e-06,0.06731052180427287,0.001092517251608489
156,4F55.02.6.gene,0.00187543148648759,0.0002263677525170929,1.128415321452508e-05,0.05512391156889654,0.0004279115639421317
157,4F55.02.60.gene,0.0008221902135986789,0.0002602986226209958,3.483863685370083e-05,0.05411248549912279,0.000425282293853551
158,4F55.02.61.gene,0.0009407561552246312,0.000678461984587674,1.563939642639687e-05,0.05802358868911724,0.001868944149199543
159,4F55.02.62.gene,0.003661149299327939,0.00145811151134153,3.962569744518577e-05,0.06163520111605553,0.001220285123674476
160,4F55.02.63.gene,0.0006850599455281316,0.001306755706726113,2.895211088471295e-05,0.05432258413615324,0.0003991349875128083
161,4F55.02.64.gene,0.004522159762375932,0.0005439739537947088,6.093838944830647e-05,0.05703590728490311,0.0005519243800173944
162,4F55.02.65.gene,0.001795654822014819,0.001066854215395215,1.157037311247341e-05,0.06686387297074205,0.0007151291254150323
163,4F55.02.66.gene,0.001216157408285146,0.0002405434721932816,5.895298579737099e-05,0.05736144797646257,0.0007199415844562913
164,4F55.02.67.gene,0.000721994683655478,0.0002874485371006033,3.204450127373874e-05,0.05761140384518443,0.0001338568220319705
165,4F55.02.68.gene,0.001599098392116531,0.0004062076626913329,3.780234033725831e-05,0.05023096069761523,0.0003766075977613447
166,4F55.02.69.gene,0.0005425589254354684,0.0004286755410242418,8.479702224691008e-05,0.05641578427364211,0.0006118227729388321
167,4F55.02.7.gene,0.001078278696051313,0.0005160071872329092,4.147816422306298e-05,0.05117787662666982,0.0003339377384804286
168,4F55.02.70.gene,0.0005415528428258004,0.0007483400665325703,2.772393035969041e-05,0.06645327759743082,0.0003953225463243467
169,4F55.02.71.gene,0.004170299146932466,0.0006538419006695444,1.311697499041244e-05,0.05378846202692216,0.0007779596587238169
170,4F55.02.72.gene,0.0008964529336070584,0.0007187890775613987,2.396633433982395e-05,0.06039639075092099,0.0003867592283909682
171,4F55.02.73.gene,0.0007193993140096826,0.000461985151249351,2.68160300933818e-05,0.05626339471180623,0.0001706691886830524
172,4F55.02.74.gene,0.0009661633969790675,0.0004222263139515745,3.504239058139726e-05,0.06440112693236447,0.0002975739358468704
173,4F55.02.75.gene,0.001854930641371391,0.001091060805019631,6.102267940350611e-05,0.05433832050123392,0.0003145441871273238
174,4F55.02.76.gene,0.006390754529785358,0.001178077807726382,0.0001643367935673287,0.06374001591608958,0.001008666253661096
175,4F55.02.77.gene,0.005089039917582252,0.001102367500187308,2.440953394155545e-05,0.05369687349137012,0.0006881148674002823
176,4F55.02.78.gene,0.003185312119724898,0.001124526105713135,1.685638289300795e-05,0.05186824484461101,0.0003809709915797292
177,4F55.02.79.gene,0.001022633279772999,0.0001572727588971948,6.438278368222884e-06,0.05337746859835377,0.000309015012049237
178,4F55.02.8.gene,0.003570975007452887,0.0008301452704342252,2.974821677013412e-05,0.05353429778312859,0.0003146042969831246
179,4F55.02.80.gene,0.001780353717452627,0.001484413606843772,1.604362551025367e-05,0.05823773026787836,0.001419151231257107
180,4F55.02.81.gene,0.001723804850508821,0.0004004102349441299,2.050893453360578e-05,0.05032920894876333,0.0009508148298268465
