,Genes,89D2,4F4D,5F62,4F55,5E8F
47,4F4D.01.51,6.520367787923981e-05,0.05289836410400307,9.548933410424891e-06,0.0003135815750860308,0.0001903859173723202
48,4F4D.01.52,0.0002024635100089083,0.06408628626235573,8.969032581184977e-05,0.0001080615294516762,0.0001627586481702065
49,4F4D.01.53,0.0001823750895701602,0.05305436401432226,2.093395208357433e-06,0.0003402092894642437,0.0002415355570929146
50,4F4D.01.54,0.0001137152249856306,0.05092612270575805,5.965755087845093e-06,0.0005132882094844362,0.001116986083723198
51,4F4D.01.55,0.0006707861989873778,0.05728259399562137,6.337160738436249e-05,0.0002217858942664234,0.0005674709530865098
52,4F4D.01.56,0.0002444684908227928,0.05202102563088831,0.0001650543810247909,0.003466754596354819,0.0002293074594349749
53,4F4D.01.57,3.021606677580733e-05,0.05778100514626583,0.0001354314930436948,0.0008548222886377831,0.000228688443026847
54,4F4D.01.58,7.020280000087622e-05,0.05131948769347684,3.894851958716018e-05,0.0003079795842871744,0.003880096757415849
55,4F4D.01.59,0.001871102383197816,0.05250654419093174,9.365456305709527e-07,0.0007410347670370278,0.0006441491103912259
56,4F4D.01.6,1.160727157613762e-06,6.042969346656616e-07,2.371552616947855e-35,3.203535158223984e-06,8.351435729940793e-05
57,4F4D.01.60,0.0001449841556635697,0.05100949961573432,6.932042193039436e-07,6.203658631520756e-07,0.0009009751873660884
58,4F4D.01.61,0.001252984836985315,0.05269323622913196,3.573043385200163e-07,0.0001264140221427248,0.0001381331196934246
59,4F4D.01.62,7.387512603814442e-05,0.05763077784828546,6.804807326976416e-06,0.0001556771604684912,0.0003223932861688088
60,4F4D.01.63,0.0002998360211531769,9.698999073150595e-05,5.3359269063303e-06,0.0002631795474057355,0.0003207832318981362
61,4F4D.01.64,0.0001700547550299636,0.05315126631926163,7.648167947718458e-05,0.001296017319982601,0.0003368442009504106
62,4F4D.01.65,0.009849440820804958,0.05236588082250412,1.622095416779337e-06,0.0006155395005105203,0.001018743523938537
63,4F4D.01.66,0.00156592870515045,0.05124270984163513,2.85574810837124e-06,0.0007144490642356268,0.0003747596782270736
64,4F4D.01.67,2.116002548950356e-05,1.756151167886214e-06,4.361048095414742e-05,2.178999605643034e-08,8.734922696398598e-05
65,4F4D.01.68,5.982620192065497e-05,7.56168663202692e-07,5.246123258829462e-05,8.736827558911237e-07,9.683746235338544e-05
66,4F4D.01.69,0.0001549489874807264,0.05112782069363315,4.557450144654837e-05,8.734444083298898e-05,0.0004527427981341327
67,4F4D.01.7,0.0002930238455767387,0.05187535047665381,4.208154701041438e-05,0.000219014159274217,0.0002822654898682899
68,4F4D.01.70,3.856715224444807e-05,9.463803313922854e-07,1.895261182314621e-07,9.293645465840137e-06,1.729279859412336e-05
69,4F4D.01.71,6.245617912205048e-05,0.01359345025126317,2.572201948218799e-05,0.001722515448346739,1.956180249556586e-05
70,4F4D.01.72,0.0008090981030584856,0.05837390020504176,9.000154028105663e-06,0.0006959791578494836,0.001398304626764277
71,4F4D.01.73,8.609429440376954e-05,0.07134428604447594,7.382764137450708e-06,5.240153300572857e-05,0.0001779713490986335
72,4F4D.01.74,1.000360602150443e-05,0.05706704573310502,2.299401723853209e-06,0.00066224114464754,0.000504060588298407
73,4F4D.01.75,0.0008702737470878103,0.05408763275386227,5.01618325550446e-05,0.001293835237400055,0.001329481487808567
74,4F4D.01.76,2.016559983708179e-05,0.05383851197325126,1.670782711807999e-05,0.0004446443405021746,0.0003098966828859612
75,4F4D.01.77,5.26543402370605e-06,0.05567600267028951,2.21654064371147e-07,7.971017245694289e-05,0.00069189184638851
76,4F4D.01.78,0.0003624260172293544,3.061448153848575e-05,5.665649337135815e-07,7.935055161350026e-10,6.52144893762387e-05
77,4F4D.01.79,0.0003819263012391996,0.05190316369950927,2.255375399946773e-08,0.001769112834966889,0.0004845740242472968
78,4F4D.01.8,0.00119759671833346,0.05095300525861371,8.604463429127832e-06,0.002510145977228218,0.000122466066021244
79,4F4D.01.80,7.035789335511786e-05,0.05199942353706894,3.785116154215297e-05,0.0001469607750959522,0.0002076470470559659
80,4F4D.01.81,0.0006692129031079311,0.05830466849134016,7.122749959956005e-06,0.0007085644026448357,0.0005950373423687628
81,4F4D.01.82,0.001046638248156621,1.077804208608875e-05,1.049799454019296e-05,4.155812730576878e-05,0.0001805260492680612
82,4F4D.01.83,0.004795300130961027,0.05631554785035481,6.520936520707142e-05,0.0007423015226316498,0.0002963978700943353
83,4F4D.01.84,0.001481002678408952,0.05728021988064424,2.826881445917069e-05,0.008458495318077396,0.0008613106114755995
84,4F4D.01.85,0.002599278520646568,0.05165040490335912,1.40127541829526e-05,9.83683918044494e-05,0.0002902422886789398
85,4F4D.01.86,0.0004617879760184103,0.0560108090857647,3.472420846040082e-05,5.270125858844246e-05,0.0002749967708198486
