,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
70,4EFB.02.163.gene,0.0009980915725604387,0.0001758922112217128,0.0003870288520029229,0.0005840938933716185,0.0001136940887729924,4.501419278630716e-05,0.01196621716475882,0.0006708066180078316,0.0001864726635583797,0.0001079483043306533
71,4EFB.02.164.gene,0.001123683761003966,0.001540451069201068,0.0001024030435912039,0.0001780253425488384,0.0006724415252526074,1.570415365916602e-05,0.013588729283175,0.003414436539359537,1.842909420583064e-05,0.0008722074261792921
72,4EFB.02.165.gene,0.0002200950371429476,7.935271722445285e-05,7.395792669608316e-05,1.302187976134581e-05,4.543063757910257e-05,4.84618686610441e-06,0.01839853048902153,6.990468172416718e-05,5.712186890348997e-05,0.0001272721180222523
73,4EFB.02.166.gene,0.0007576021877475145,0.0006943629384193784,9.171760026521388e-05,8.193906530459783e-05,3.72676733776126e-05,2.502772830311841e-06,0.01202736200659653,0.00062851243439717,1.720734112488738e-05,0.0002378738120108127
74,4EFB.02.167.gene,0.0001771550463263354,0.0002264399074300003,0.0001478668193980604,0.0001241376293508496,0.0001699795415987198,1.899115259544669e-05,0.01160859977461339,0.0001435504968837581,4.88687846527273e-05,0.0001941096203489925
75,4EFB.02.168.gene,2.834473462744442e-05,1.511648378929178e-05,1.151711517071303e-05,2.395450478319777e-06,5.605664407341585e-06,1.975277412827018e-06,0.01022993191544101,0.001107877184685227,6.370419669385127e-05,2.835014155925768e-05
76,4EFB.02.169.gene,2.662819638769706e-05,4.742728772148241e-05,6.54184521636698e-06,7.472064468911173e-06,1.466613181282894e-05,9.16092671258671e-07,0.01291550963779911,0.0005324269228922456,4.924464895166881e-05,4.99780152567922e-05
77,4EFB.02.17.gene,0.001164433354766498,0.0008141898050789938,0.0002306297434975855,0.002223643403844134,7.60446556823646e-05,3.235976212132043e-05,0.01016588599671897,0.0003242568467791228,5.219817597975452e-05,0.0003714952534715251
78,4EFB.02.170.gene,9.44583175298395e-05,0.0002392809060419642,6.253878487220162e-06,2.493783091422229e-05,6.934298947471908e-06,4.945515718638466e-06,0.01164671399459332,0.0001051383524381882,0.0001155433847177385,4.967670229855521e-05
79,4EFB.02.171.gene,0.0003907881075240257,0.0001048010668322334,0.0006212517631228,8.419860338475629e-05,0.0002208055456950394,4.899473768810311e-05,0.01464390082930003,0.001481336926834936,8.277101234052434e-05,0.0006910269137430126
80,4EFB.02.172.gene,0.0003208671456938919,2.176605440246177e-05,2.565623906299182e-05,4.004588913443938e-05,1.712226660705481e-05,2.066539415126883e-06,0.01664366408910643,0.0008690341413719122,1.738673601711791e-05,0.0001037250390092934
81,4EFB.02.173.gene,0.0001930511097723978,0.000207948489523295,0.0001723652706498368,5.290787219281047e-06,9.072879867454222e-05,5.929960586632333e-06,0.01238706097997362,0.0008678793168366432,1.385105291017655e-05,0.0001006392726152128
82,4EFB.02.174.gene,0.0002661948225832045,0.0002135781798613798,0.0003539848142055487,2.519320789231484e-05,0.0003295326204611405,3.101901157351214e-05,0.0128636234107307,0.0008206326899860252,0.0003249922917508783,0.001167882527758733
83,4EFB.02.175.gene,0.000224348132126467,0.0005773069464439684,0.0009102068734952433,0.0002841975897264817,0.0004548959107100766,1.104260142020994e-05,0.01105369322811467,0.0001604117368793178,9.04548022197401e-05,0.0003261899130416734
84,4EFB.02.176.gene,0.000805914920770293,6.600145091361968e-05,3.014199912089643e-05,1.494117232725364e-05,1.491227530871925e-06,4.222285490609813e-07,0.02072433631209411,0.00152978068391472,9.578568977046134e-06,1.389921828616443e-05
85,4EFB.02.177.gene,0.001158414570955031,0.0009550982303776177,5.130206100784022e-05,0.0001216787596832259,2.650749296211002e-05,5.082893860805892e-06,0.01406670037698413,0.001375127161671097,8.28727196368657e-05,5.169521823847959e-05
86,4EFB.02.178.gene,0.000368797491739305,0.0002742413886753009,0.0001971547938579725,0.0002561383763645231,9.360085847647579e-05,2.538839782224899e-05,0.01458657213975846,0.0008963600646304291,0.0001337395356348613,0.0001298966690952553
87,4EFB.02.179.gene,4.499916538801678e-05,3.101761779198766e-05,1.16531695779537e-05,1.21288688972239e-05,8.368946688618202e-06,8.139235435400109e-07,0.01276361463982663,0.0001433954752223009,6.213175303175112e-05,0.0001472092715969367
88,4EFB.02.18.gene,0.001136351218457592,0.0003340858739982994,7.145364790771929e-05,9.495245253290615e-05,6.47465475813966e-05,2.113428141501258e-05,0.01270613695333205,0.000605504071236555,5.306404188362507e-05,0.0004102424027579578
89,4EFB.02.180.gene,0.0001325045565116181,2.65027863649803e-05,0.0003759794369195891,7.131857444529953e-06,3.109434684417114e-05,6.329445994866736e-07,0.01219613283609065,0.000213325289060114,4.81443560897967e-05,1.359586896673577e-05
90,4EFB.02.181.gene,9.355676253936106e-05,0.001151161870157743,0.000277478361130402,7.138101402980587e-05,0.00010977918340026,0.0002204142343972542,0.013585852214095,0.0007279182353622379,0.0005790699632309406,6.541121445219153e-05
91,4EFB.02.182.gene,0.0002272105154929162,0.000351349325208693,0.0001151089582215931,2.77467671613352e-05,5.325089157194775e-05,4.864108885814615e-05,0.0171240777832007,0.0007449540877676363,0.0001332119540433137,0.0003185229032141005
92,4EFB.02.183.gene,0.0001129410504019266,0.000125923191711051,4.388380953484873e-05,4.88923690646384e-05,4.591048281641213e-05,5.361932200060759e-05,0.01000867603469321,9.890165912040557e-05,0.001057581724270371,0.0001830109343634203
93,4EFB.02.184.gene,0.0001963171989459786,0.0005350294704060143,0.0001353267787951312,2.118423975899206e-05,0.0001342322443894173,0.0001245055401487344,0.01045133463245764,0.00148796384815297,0.0001650546867893576,0.0002059693096852812
94,4EFB.02.185.gene,0.0001092913814508673,7.253416977450947e-05,3.388897663842489e-05,8.121422558489255e-05,5.49297364894556e-05,1.084719247176447e-06,0.02287294319973692,0.001057351886582836,1.913012395033028e-05,2.225054252282289e-05
95,4EFB.02.186.gene,0.0001101307598658219,0.0003823106036595445,0.0001292388335116464,1.252565065056444e-05,1.377824058438044e-05,7.175186785539403e-06,0.01346116595780757,0.0005056187740239057,0.0001630593122852466,3.047206174730267e-05
96,4EFB.02.187.gene,0.0005459583265983971,0.001168275157158801,0.0001394583809766383,0.0005848470964572587,0.0002602740969852229,3.160160434633539e-05,0.01499737378509107,0.0005580628143809193,0.0001428912769949288,0.002120541757006272
