,Genes,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
21,5411.2.6,3.170447280732774e-07,4.190093191516293e-06,0.2052356366694059,1.151173598013527e-06,4.17120013749787e-06,2.130080680799919e-05,1.711107078298585e-07,6.469539242927036e-10,2.975871311255514e-11,5.335130411575121e-07
22,5411.2.7,1.206552400610862e-05,2.08012706317429e-05,0.2018428910060523,1.022783301854792e-10,9.474522319591652e-06,5.890574401011558e-06,1.755628778479705e-07,1.512278307299737e-09,2.794296955769455e-05,6.179011154637401e-06
23,5411.2.8,8.463500903259797e-05,2.054642326800859e-07,0.2201239901671652,3.034948627914288e-06,3.137369233667973e-06,1.677706181976913e-05,1.018801577787024e-07,2.937503269734499e-05,1.184022725681875e-05,2.632914471259965e-06
24,5411.2.9,3.995547177813684e-06,1.40974773930473e-07,0.212170966986525,1.180549793330581e-07,4.167757654196052e-06,3.934280177386616e-06,2.410855027262625e-08,9.718606467260777e-10,0.0004621571271976475,1.093237512024732e-05
25,56E0.2.1,0.0003632578586354843,3.481789693681419e-06,0.001435276244208296,4.459458872712534e-07,0.0002099535600309159,6.878813160133091e-05,9.359518339137831e-06,3.768296163545022e-06,0.0005356427536958479,0.0004002937820907494
26,56E0.2.10,0.02475501084696472,4.61072596335309e-09,0.009459335667455463,0.01225899887796817,0.0001337766921105505,4.181335829277006e-06,1.72189897064218e-05,0.0008863770073567125,1.181702520614502e-08,0.0001464748306082621
27,56E0.2.11,0.0002155743818396288,2.12052261494031e-05,0.0004452167515263381,9.220543124806222e-05,6.859172131486504e-05,4.197619060311939e-07,0.001508961969159066,8.313423269369257e-05,0.000104490790426484,3.531542667138132e-05
28,56E0.2.12,0.0009712876176514013,0.0006430648711349641,0.008451919020702626,0.0001335764795590583,0.0004043107502942501,0.0003933338231400246,0.0001751114945010676,0.0002370011574322406,0.001914934669826728,7.366381070168356e-05
29,56E0.2.13,0.0003857614165614397,5.554775097163435e-06,0.002258593086457354,8.776941241450037e-05,0.0001597071902713204,7.421705015127042e-05,3.269802368868608e-06,1.320304599844072e-06,0.000117411531198025,5.087225690791543e-05
30,56E0.2.14,0.004655776926397518,0.0005831747750634155,0.001729165979344683,0.005077079877295564,0.0001428665972725254,1.133690171332394e-06,7.246479955787012e-06,0.0002843429974725687,1.409530735225845e-05,5.131197508486126e-05
31,56E0.2.15,0.003684107492443222,0.002406102816565645,0.004613167955302093,0.006209330927747284,0.0004367176483520898,1.908243326233049e-06,7.534858326056635e-06,5.145990354156939e-05,1.954479713540294e-05,2.594102724708473e-05
32,5728.2.1,0.005257236227037329,0.0003270393743886431,5.011831358134529e-08,6.624045071728907e-08,0.0002236368510701659,6.538282896307832e-08,0.04013899658068588,0.2340412968440834,0.002127537899061073,6.366612864825882e-05
33,5728.2.10,0.116774963376737,0.0001856780895342021,2.706742007667899e-05,0.00331994720688608,5.60144198748916e-06,8.872386352964072e-06,0.05924343269282156,0.208643444810488,3.077061020501134e-05,0.0003000205715038944
34,5728.2.11,0.08326891063585805,0.0009917372249515575,6.516191784929617e-07,0.002885826985028831,3.504878456979393e-06,3.632148297788915e-06,0.04736958012302066,0.2015236115661416,4.826726251123676e-06,4.281999561980221e-05
35,5728.2.12,0.004390785160869467,0.002768352076637357,8.261672306853717e-05,4.402031333275727e-05,0.001374428331789851,0.0002200604092555273,0.04413450175393509,0.2088493733887666,2.494684057655836e-05,4.1010814617421e-05
36,5728.2.13,0.02337634141659011,0.0002967297313915855,3.071915207046854e-05,6.436820805280515e-07,0.0007204616993090354,4.372803638841423e-06,0.04820674743804401,0.2014990793019035,3.487090411785726e-06,2.676467408858099e-06
37,5728.2.14,0.007643447638780956,0.0007494372080580348,9.768678652180263e-05,8.317518814478126e-06,0.0001652557842488656,4.988756096279836e-08,0.07432895265306506,0.2173829555489332,2.035587610081762e-05,0.0002830526683128876
