,Genes,89D2,4F4D,5F62,4F55,5E8F
39,4F4D.01.44,1.488857307636877e-05,0.06688023757580755,4.684994715169433e-07,0.0004714596558285221,3.034437561929134e-05
40,4F4D.01.45,0.0001324050918072853,0.0540847111456341,5.059352965536782e-06,0.0004215037107639457,0.0003781381125746031
41,4F4D.01.46,3.935314108799126e-05,0.06174820921826795,1.272310642446677e-06,1.756660349419526e-05,2.949316641363798e-08
42,4F4D.01.47,5.229490118506623e-06,0.0516582864102136,5.420448081057979e-07,0.0003809995035951222,0.0001415010728240496
43,4F4D.01.48,5.215494550051438e-06,0.05580142552457376,5.22767595720143e-08,0.0003256951040194209,1.498832336169262e-05
44,4F4D.01.49,3.298308510014966e-05,0.05425665499393997,1.018885081558218e-05,0.0001608718514899202,0.0002370505165750725
45,4F4D.01.5,4.416167942102574e-05,0.06043697999446293,3.201845150082157e-08,0.0002138172056030576,6.170855050609858e-05
46,4F4D.01.50,3.122141546454777e-05,9.924915405499705e-10,1.494653049592248e-05,7.151442706280402e-07,9.84883248549615e-10
47,4F4D.01.51,5.376540824305118e-05,0.05289836410400307,3.953500445459369e-07,0.0003135815750860308,2.706755575177247e-05
48,4F4D.01.52,0.0001474284740075325,0.06408628626235573,1.38621513055547e-06,4.084492164133352e-05,3.535807745677068e-05
49,4F4D.01.53,6.72261298578096e-06,0.05305436401432226,6.1449330249989e-08,0.0003402092894642437,5.666736686444803e-06
50,4F4D.01.54,2.873000320133626e-05,0.05092612270575805,2.398838737872715e-06,0.0005132882094844362,2.091280537072123e-06
51,4F4D.01.55,0.0006707861989873778,0.05728259399562137,6.337160738436249e-05,0.001139292192539144,2.934623728024079e-05
52,4F4D.01.56,0.0002444684908227928,0.05202102563088831,4.040783269803385e-05,0.003466754596354819,2.534006717684199e-05
53,4F4D.01.57,2.665161325827257e-05,0.05778100514626583,0.0001354314930436948,0.0008548222886377831,7.927962646111231e-05
54,4F4D.01.58,7.171663585814591e-05,0.05131948769347684,1.436313505986334e-05,1.776784882255844e-05,0.003184874455157653
55,4F4D.01.59,4.167714704875943e-05,0.05250654419093174,7.47818024064468e-08,0.0001141063065258466,6.736768506184031e-05
56,4F4D.01.6,7.307620665661377e-06,0.06123878918948004,1.365741564778213e-07,8.359130975278894e-05,8.32859948737213e-06
57,4F4D.01.60,0.0001237679002483351,0.007126932695002573,2.616657192828749e-07,3.806622150105979e-05,0.0002576270836377488
58,4F4D.01.61,3.497749512350072e-05,0.05269323622913196,1.384957562461398e-07,0.0001264140221427248,0.0001172288864133793
59,4F4D.01.62,4.449755117488763e-06,0.05763077784828546,5.329724443366702e-06,0.0001125547670093666,5.910483508498145e-06
