,Genes,89D2,4F4D,5F62,4F55,5E8F
48,4F4D.01.52,8.836438242517082e-05,0.06408628626235573,2.435522761704708e-06,0.0001080615294516762,9.328732938462558e-05
49,4F4D.01.53,4.907860463825075e-07,0.05305436401432226,2.036434868898073e-06,0.0003402092894642437,0.0001185214479812828
50,4F4D.01.54,2.6848524177621e-05,0.05092612270575805,2.655192947185778e-06,0.0005132882094844362,0.0007526093396505335
51,4F4D.01.55,0.0006707861989873778,0.05728259399562137,6.337160738436249e-05,0.001139292192539144,0.0003681447447733447
52,4F4D.01.56,0.0002444684908227928,0.05202102563088831,0.0001650543810247909,0.001768845503421516,0.0002293074594349749
53,4F4D.01.57,4.905429719298923e-06,0.05778100514626583,0.0001354314930436948,0.0008548222886377831,0.000228688443026847
54,4F4D.01.58,7.020280000087622e-05,0.05131948769347684,1.049641423852809e-05,1.776784882255844e-05,0.003880096757415849
55,4F4D.01.59,9.349044466867481e-05,0.05250654419093174,5.676522209308753e-07,2.628286148931051e-05,0.0005511595791240467
56,4F4D.01.6,8.943072851033565e-07,2.427860134572942e-05,1.578561415783619e-08,1.668802855065375e-05,8.32859948737213e-06
57,4F4D.01.60,2.066925975858028e-05,0.05100949961573432,9.836666763657992e-09,0.0001558564178070048,0.000643401321612917
58,4F4D.01.61,4.01369448513467e-05,0.05269323622913196,1.451853488509316e-08,0.0001264140221427248,0.0003802874246725581
59,4F4D.01.62,6.640194014811504e-05,0.05763077784828546,5.329724443366702e-06,0.0001125547670093666,0.000128638358625182
60,4F4D.01.63,0.0002376650750849055,0.0002701372493724639,3.443411064987675e-06,0.0002119513658145891,0.0002145072023766053
61,4F4D.01.64,0.0001700547550299636,0.05315126631926163,7.648167947718458e-05,9.183517228223202e-05,0.0006591435153498405
62,4F4D.01.65,0.0007945119695251428,0.05236588082250412,1.777039644821371e-06,0.0006155395005105203,0.000304246483026106
63,4F4D.01.66,6.552159517027676e-05,0.05124270984163513,1.365199589813805e-07,0.0001248169663560296,0.0003747596782270736
