,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
20,5411.2.5,4.197912632520329e-05,1.629115743744209e-07,0.2069281027120738,6.395879296386557e-06,5.469332116972881e-05,3.042559231555538e-05,1.159626030403249e-06,1.522159899620137e-08,0.003953580523740298,2.187081449366934e-06,4.197912632520329e-05,1.629115743744209e-07,0.2069281027120738,6.395879296386557e-06,5.469332116972881e-05,3.042559231555538e-05,1.159626030403249e-06,1.522159899620137e-08,0.003953580523740298,2.187081449366934e-06
21,5411.2.6,1.075593176151412e-05,3.495474132958833e-09,0.004711943936428234,1.777337034297234e-05,1.685223805921811e-05,4.138758504284452e-06,2.806835603589914e-09,1.941033759221787e-09,0.0001197745721259418,1.522340137272646e-05,1.075593176151412e-05,3.495474132958833e-09,0.004711943936428234,1.777337034297234e-05,1.685223805921811e-05,4.138758504284452e-06,2.806835603589914e-09,1.941033759221787e-09,0.0001197745721259418,1.522340137272646e-05
22,5411.2.7,1.57525805769403e-05,1.715574883772084e-05,0.2018428910060523,9.956674017126516e-06,1.118255879465815e-05,5.890574401011558e-06,3.467752252214444e-07,1.349641637512264e-06,0.0008206671347683667,2.199820486307762e-05,1.57525805769403e-05,1.715574883772084e-05,0.2018428910060523,9.956674017126516e-06,1.118255879465815e-05,5.890574401011558e-06,3.467752252214444e-07,1.349641637512264e-06,0.0008206671347683667,2.199820486307762e-05
23,5411.2.8,2.021452555263393e-06,1.961792622192952e-07,0.2201239901671652,3.034948627914288e-06,2.511091280614891e-06,1.677706181976913e-05,1.130854864542002e-06,1.979002467311482e-08,0.0002282731540996658,6.75802115852327e-05,2.021452555263393e-06,1.961792622192952e-07,0.2201239901671652,3.034948627914288e-06,2.511091280614891e-06,1.677706181976913e-05,1.130854864542002e-06,1.979002467311482e-08,0.0002282731540996658,6.75802115852327e-05
24,5411.2.9,3.13313637323398e-06,8.941814335776103e-10,0.212170966986525,1.199425489177428e-06,5.216509287499611e-06,3.934280177386616e-06,8.460709742580348e-08,8.470330236488796e-09,0.0007750240905066626,1.354274846828934e-05,3.13313637323398e-06,8.941814335776103e-10,0.212170966986525,1.199425489177428e-06,5.216509287499611e-06,3.934280177386616e-06,8.460709742580348e-08,8.470330236488796e-09,0.0007750240905066626,1.354274846828934e-05
25,56E0.2.1,0.01386422347544329,6.780553914877606e-08,0.001435276244208296,0.001300685961175081,0.0002099535600309159,1.111578619455466e-06,3.643060463407085e-06,0.0002132727909914302,3.970423487235413e-07,4.859597505439168e-05,0.01386422347544329,6.780553914877606e-08,0.001435276244208296,0.001300685961175081,0.0002099535600309159,1.111578619455466e-06,3.643060463407085e-06,0.0002132727909914302,3.970423487235413e-07,4.859597505439168e-05
26,56E0.2.10,0.002245440644913401,4.54563958212964e-09,0.009459335667455463,0.01225899887796817,1.980806316637568e-05,2.941207764991218e-07,0.0001326724233603874,0.0006826533108619437,9.021442599865307e-05,0.00021527153336953,0.002245440644913401,4.54563958212964e-09,0.009459335667455463,0.01225899887796817,1.980806316637568e-05,2.941207764991218e-07,0.0001326724233603874,0.0006826533108619437,9.021442599865307e-05,0.00021527153336953
27,56E0.2.11,7.79209910289256e-05,7.859312349295869e-08,0.0004452167515263381,0.003771572333651223,6.859172131486504e-05,5.477019917476715e-05,6.973087456341189e-06,8.313423269369257e-05,3.117747253207288e-05,7.942693146335383e-05,7.79209910289256e-05,7.859312349295869e-08,0.0004452167515263381,0.003771572333651223,6.859172131486504e-05,5.477019917476715e-05,6.973087456341189e-06,8.313423269369257e-05,3.117747253207288e-05,7.942693146335383e-05
28,56E0.2.12,0.0009712876176514013,0.0001393836305432741,0.008451919020702626,0.0001335764795590583,0.0005826002934200035,8.085904310675137e-05,0.0001847545965359657,0.0002370011574322406,1.783778227665084e-06,6.804550117063895e-05,0.0009712876176514013,0.0001393836305432741,0.008451919020702626,0.0001335764795590583,0.0005826002934200035,8.085904310675137e-05,0.0001847545965359657,0.0002370011574322406,1.783778227665084e-06,6.804550117063895e-05
29,56E0.2.13,0.000527267649801886,2.110770144011365e-06,0.002901608526197891,0.0001780562312989427,0.0002042917583524794,6.576698067004635e-06,0.0003107421585825515,6.553889228318272e-05,8.440117729248625e-06,5.173742359471206e-05,0.000527267649801886,2.110770144011365e-06,0.002901608526197891,0.0001780562312989427,0.0002042917583524794,6.576698067004635e-06,0.0003107421585825515,6.553889228318272e-05,8.440117729248625e-06,5.173742359471206e-05
