,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
18,4F4D.01.25,0.0001993054253243652,0.067054581738413,1.199527937002315e-05,0.001288758308585054,8.041230491319555e-14
19,4F4D.01.26,0.0001935478805626555,0.05039395692792974,1.880010058343047e-07,0.001457744447706913,0.0001131062946255733
20,4F4D.01.27,0.0001592192971965036,0.06107266157113577,4.819088667169107e-07,0.0005187342916735486,0.001201145871326204
21,4F4D.01.28,3.914459615447669e-06,0.05385829588740609,2.586533407115057e-07,0.0006852699394624594,1.622206803002589e-17
22,4F4D.01.29,0.000149348816921115,0.05263158891781858,1.32570921821695e-05,0.00123584211239307,0.0003825106329768876
23,4F4D.01.3,0.0001669279792470485,0.05489274337324428,3.383669429593871e-05,0.003485084438271196,1.629972873227647e-11
24,4F4D.01.30,2.311639807583645e-06,0.05194994108520563,6.043823817680997e-06,4.507154401316788e-05,1.236552425559231e-23
25,4F4D.01.31,2.963588674174577e-06,0.05352772664582123,1.826155048853377e-06,0.000164936062942364,1.264799961134867e-05
26,4F4D.01.32,8.3968211838862e-05,0.0529846210811793,1.920557498818477e-05,0.0001969930687056593,0.001597835728303992
27,4F4D.01.33,5.020607547704094e-10,0.05019259452765763,9.098858313599637e-22,1.283722929694998e-10,5.090606574256303e-11
28,4F4D.01.34,0.0004815375034730678,0.07618148573421918,2.710025138904241e-07,0.002911023531348417,1.870578066031605e-13
29,4F4D.01.35,3.718774085337341e-06,0.05535290508864752,9.997728045171914e-06,0.0002976074496224857,2.2425872166138e-05
30,4F4D.01.36,2.027016835316632e-07,0.0570488048274817,3.062863799555081e-07,0.0002969928693895658,2.18985915239831e-05
31,4F4D.01.37,5.657811795642313e-05,0.05496201378492742,2.358285489834672e-06,0.0002689473661740842,0.0001928246331947879
32,4F4D.01.38,0.0001264785279780257,0.05174818203359949,5.058382097125413e-07,0.0003717628919820625,0.0004412252854335119
33,4F4D.01.39,1.196183422510599e-05,0.0641795630027895,2.461719721247409e-06,0.001317888715590176,2.198745423887368e-06
34,4F4D.01.4,1.232141959359495e-05,0.05133395651467338,3.45159804546667e-05,7.193010786457942e-05,4.105692627130346e-23
35,4F4D.01.40,0.0002632432552386613,0.05114312915221787,4.525344826234719e-05,6.305072992984598e-05,0.0004607784447213368
36,4F4D.01.41,4.383963903813197e-05,0.05127809934687564,6.613213472811937e-07,0.0008773968854402905,5.326437343217534e-07
37,4F4D.01.42,3.855402573448895e-05,0.05409978940783129,1.716709957249668e-06,0.0004018489938162949,5.700118085037472e-20
38,4F4D.01.43,0.0001845195165516883,0.05944554179278937,1.790199448061764e-05,0.001376065035270251,9.76828205037968e-20
39,4F4D.01.44,9.800275663145611e-05,0.06688023757580755,1.588103603041859e-05,9.827164349986685e-06,0.00058883509044075
40,4F4D.01.45,0.0001593998994436276,0.0540847111456341,1.005373971147325e-05,0.001344940607606209,0.0004115478051957755
41,4F4D.01.46,4.645192846945412e-05,0.06174820921826795,2.128525390727008e-05,0.0002560328063548214,2.198358800301706e-23
42,4F4D.01.47,6.682813869029883e-06,0.0516582864102136,9.491133714007128e-06,0.0003809995035951222,9.97675745727434e-05
43,4F4D.01.48,7.034527150518267e-06,0.05580142552457376,5.707257690516832e-05,0.000264860657784806,6.808629751619385e-05
44,4F4D.01.49,8.059635667193987e-07,0.05425665499393997,1.018885081558218e-05,0.001397966712318719,0.0001086820598885072
45,4F4D.01.5,5.664520358434033e-05,0.06043697999446293,3.847080542057315e-07,0.0003559486627572098,5.706939064559429e-10
46,4F4D.01.50,3.122141546454777e-05,9.924915405499705e-10,5.122830065920324e-13,0.0009471511719061033,3.714377384136375e-05
